province_id,province,year,GINIW_province,gdppc
65,Chiang Mai,2018,0.077950768,81583
65,Chiang Mai,2019,0.078061707,84295
65,Chiang Mai,2020,0.076021388,79278
65,Chiang Mai,2021,0.075987428,78810
25,Chiang Rai,2014,0.04412077,43259
25,Chiang Rai,2015,0.040825516,44163
25,Chiang Rai,2016,0.04028305,45229
25,Chiang Rai,2017,0.037205126,47342
25,Chiang Rai,2018,0.037112799,47210
25,Chiang Rai,2019,0.03723222,47142
25,Chiang Rai,2020,0.033672929,45177
25,Chiang Rai,2021,0.034432504,46202
64,Chon Buri,2014,0.040456191,304459
64,Chon Buri,2015,0.03885394,312285
64,Chon Buri,2016,0.038339086,325957
64,Chon Buri,2017,0.036405213,324480
64,Chon Buri,2018,0.035441414,324552
64,Chon Buri,2019,0.034439053,325013
64,Chon Buri,2020,0.032444347,297187
64,Chon Buri,2021,0.030767247,311972
19,Chumphon,2014,0.041680969,82973
19,Chumphon,2015,0.039838959,78813
19,Chumphon,2016,0.039733499,87333
19,Chumphon,2017,0.037694849,85769
19,Chumphon,2018,0.036484513,92839
19,Chumphon,2019,0.037787449,111864
19,Chumphon,2020,0.036719646,114456
19,Chumphon,2021,0.037199311,115569
20,Kalasin,2014,0.021642279,38090
20,Kalasin,2015,0.022769477,39121
20,Kalasin,2016,0.025724797,40414
20,Kalasin,2017,0.021598496,41306
20,Kalasin,2018,0.020922851,46222
20,Kalasin,2019,0.020346681,45300
20,Kalasin,2020,0.020736458,43643
20,Kalasin,2021,0.021315938,45368
36,Kam Phaeng Phet,2014,0.039344747,74881
36,Kam Phaeng Phet,2015,0.033553053,77276
36,Kam Phaeng Phet,2016,0.035484947,82396
36,Kam Phaeng Phet,2017,0.032775663,83635
36,Kam Phaeng Phet,2018,0.032884352,87439
36,Kam Phaeng Phet,2019,0.033343196,89836
36,Kam Phaeng Phet,2020,0.03333253,82572
36,Kam Phaeng Phet,2021,0.031237474,81036
73,Kanchanaburi,2014,0.066309743,71139
73,Kanchanaburi,2015,0.064586967,71198
73,Kanchanaburi,2016,0.064781033,71521
73,Kanchanaburi,2017,0.062718295,73279
73,Kanchanaburi,2018,0.061555319,82084
73,Kanchanaburi,2019,0.063228749,82706
73,Kanchanaburi,2020,0.061049514,76210
73,Kanchanaburi,2021,0.060365174,77421
15,Khon Kaen,2014,0.046569318,72260
15,Khon Kaen,2015,0.043711443,73342
15,Khon Kaen,2016,0.045319766,73575
15,Khon Kaen,2017,0.039171696,76715
15,Khon Kaen,2018,0.038532451,79656
15,Khon Kaen,2019,0.038688082,78770
15,Khon Kaen,2020,0.03639536,76391
15,Khon Kaen,2021,0.035106272,77507
63,Krabi,2014,0.040624894,123152
63,Krabi,2015,0.037787162,121114
63,Krabi,2016,0.035247359,121680
63,Krabi,2017,0.029798664,126161
63,Krabi,2018,0.028818147,124603
63,Krabi,2019,0.030609494,122499
63,Krabi,2020,0.027447281,98559
63,Krabi,2021,0.025027715,94759
37,Lampang,2014,0.050563112,55940
37,Lampang,2015,0.049094621,55399
37,Lampang,2016,0.048981193,56953
37,Lampang,2017,0.043227646,58433
37,Lampang,2018,0.042284705,59328
37,Lampang,2019,0.042021248,58990
37,Lampang,2020,0.041254546,57930
37,Lampang,2021,0.041438118,59822
28,Lamphun,2014,0.054234128,114765
28,Lamphun,2015,0.052986965,104975
28,Lamphun,2016,0.05314168,106502
28,Lamphun,2017,0.048741493,117637
28,Lamphun,2018,0.047522224,126504
28,Lamphun,2019,0.047771085,126177
28,Lamphun,2020,0.047384232,128305
28,Lamphun,2021,0.046647906,141118
16,Loei,2014,0.037889626,47691
16,Loei,2015,0.036638808,49074
16,Loei,2016,0.034961309,51890
16,Loei,2017,0.030240133,56300
16,Loei,2018,0.029644523,62604
16,Loei,2019,0.032710418,61330
16,Loei,2020,0.031915057,58217
16,Loei,2021,0.031087274,60755
62,Lop Buri,2014,0.039571125,77538
62,Lop Buri,2015,0.03736902,75273
62,Lop Buri,2016,0.03669475,77190
