TABLE_DESC_ENG,UNIT1E,NOTE1E,SOURCE_ENG1,Year,Quarter,Region,Province,Education,SORT_ID,Education Detail,Sex,?????
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2018,Quarter 4,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,361521.29
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2018,Quarter 4,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,126845.74
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 1,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2226265.27
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 1,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,341707.73
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 1,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,124647.5
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 2,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2209254.91
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 2,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,356639.12
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 2,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,155112.64
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2201665.91
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,402852.01
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,128652.08
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2268206.76
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,370895.11
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,119884.51
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2358638.13
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,369187.92
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,134458.25
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2330139.28
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,392690.36
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 2,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,157475.63
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2296141.36
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,422061.19
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 3,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,147448.42
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2303111.62
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,473487.23
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 4,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,152842.46
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 1,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2131246.83
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 1,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,369973.13
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 1,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,130121.07
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 2,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2172100.34
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 2,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,393903.62
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 2,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,139038.6
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 3,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2117776.93
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 3,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,414513.7
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 3,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,152433.05
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 4,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2136324.26
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 4,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,390266.55
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2021,Quarter 4,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,140570.31
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Central Region,    Higher education,4,    Academic,Total,1702047.9
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Central Region,    Higher education,5,    Technical Education,Total,876271.33
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Central Region,    Higher education,6,    Teacher Training,Total,257705.51
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Samut Prakan,    Higher education,4,    Academic,Total,206802
