TABLE_DESC_ENG,UNIT1E,NOTE1E,SOURCE_ENG1,Year,Quarter,Region,Province,Education,SORT_ID,Education Detail,Sex,?????
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Samut Prakan,    Higher education,5,    Technical Education,Total,112731.82
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Samut Prakan,    Higher education,6,    Teacher Training,Total,17097
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Nonthaburi,    Higher education,4,    Academic,Total,364177.82
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Nonthaburi,    Higher education,5,    Technical Education,Total,92250.86
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Nonthaburi,    Higher education,6,    Teacher Training,Total,21315.93
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Pathum Thani,    Higher education,4,    Academic,Total,166740.65
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Pathum Thani,    Higher education,5,    Technical Education,Total,56433.33
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Pathum Thani,    Higher education,6,    Teacher Training,Total,19413.4
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Phra Nakhon Si Ayutthaya,    Higher education,4,    Academic,Total,61520.53
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Phra Nakhon Si Ayutthaya,    Higher education,5,    Technical Education,Total,71300.94
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Phra Nakhon Si Ayutthaya,    Higher education,6,    Teacher Training,Total,20282.04
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Ang Thong,    Higher education,4,    Academic,Total,10965.88
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Ang Thong,    Higher education,5,    Technical Education,Total,10026.55
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Ang Thong,    Higher education,6,    Teacher Training,Total,4371.86
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Lop Buri,    Higher education,4,    Academic,Total,34658.94
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Lop Buri,    Higher education,5,    Technical Education,Total,35966.85
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Lop Buri,    Higher education,6,    Teacher Training,Total,11438.26
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Sing Buri,    Higher education,4,    Academic,Total,11307.7
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Sing Buri,    Higher education,5,    Technical Education,Total,13671.87
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Sing Buri,    Higher education,6,    Teacher Training,Total,3551.77
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Chai Nat,    Higher education,4,    Academic,Total,17874.67
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Chai Nat,    Higher education,5,    Technical Education,Total,11557.68
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Chai Nat,    Higher education,6,    Teacher Training,Total,4520.85
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Saraburi,    Higher education,4,    Academic,Total,34923.62
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Saraburi,    Higher education,5,    Technical Education,Total,55961.92
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Saraburi,    Higher education,6,    Teacher Training,Total,9128.87
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Chon Buri,    Higher education,4,    Academic,Total,199851.34
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Chon Buri,    Higher education,5,    Technical Education,Total,107273.52
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Chon Buri,    Higher education,6,    Teacher Training,Total,19984.03
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Rayong,    Higher education,4,    Academic,Total,86642.77
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Rayong,    Higher education,5,    Technical Education,Total,52766.48
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Rayong,    Higher education,6,    Teacher Training,Total,11221.15
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Chanthaburi,    Higher education,4,    Academic,Total,34992.93
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Central Region,Chanthaburi,    Higher education,5,    Technical Education,Total,9702.32
