province_id,province,Type of Construction,2014,2015,2016,2017,2018,2019,2020,2021,2022
71,Chanthaburi,Sport ground,,,,0,0,1699,0,0,0
71,Chanthaburi,Car park,,29,11760,96,5865,2777,4335,4017,2730
71,Chanthaburi,Advertisting board,88,696,43,232,506,2076,211,246,2140
71,Chanthaburi,Phone Antenna,,,,,,396,704,410,468
71,Chanthaburi,Others,789,1870,163,1408,1613,4561,0,14405,1447
29,Trat,Engineering construction measured in length,1473,2769,1127,3268,2520,1857,4934,1924,2064
29,Trat,Fence / wall,1156,1399,542,1500,1631,1720,3830,279,2022
29,Trat,Road,,14,576,0,0,0,596,390,0
29,Trat,Bridge,56,643,,0,499,0,0,0,0
29,Trat,Dam,,,,1113,196,116,28,1255,42
29,Trat,Water drain,85,713,9,612,0,21,480,0,0
29,Trat,Others,176,,,43,194,0,0,0,0
29,Trat,Engineering construction measured in area,5934,4387,713,9166,3476,1613,9564,2066,3233
29,Trat,Swimming pool,,852,0,2831,778,616,939,0,142
29,Trat,Petrol station (Oil/LPG/NGV),114,,,2458,1272,9,2340,1463,0
29,Trat,Harbour,70,,,0,0,0,0,0,2612
29,Trat,Sport ground,,,,0,0,0,0,0,0
29,Trat,Car park,,42,0,2741,0,293,120,0,0
29,Trat,Advertisting board,104,,13,111,13,0,0,0,49
29,Trat,Phone Antenna,,,,,,93,25,227,145
29,Trat,Others,5646,3493,700,1025,1413,602,6140,376,285
4,Chachoengsao,Engineering construction measured in length,22167,25660,8823,13970,25048,18350,17492,18727,33975
4,Chachoengsao,Fence / wall,3583,13262,1522,5339,6269,5083,5765,10138,16986
4,Chachoengsao,Road,3681,1792,1399,2268,2040,2036,1300,787,1102
4,Chachoengsao,Bridge,117,480,1202,281,366,100,2,227,160
4,Chachoengsao,Dam,,139,0,201,8790,0,528,620,499
4,Chachoengsao,Water drain,8721,9752,4691,5881,7579,11111,9897,6955,15228
4,Chachoengsao,Others,6065,235,9,0,4,20,0,0,0
4,Chachoengsao,Engineering construction measured in area,43335,23458,14926,21594,20834,53538,19880,249684,56241
4,Chachoengsao,Swimming pool,836,1654,160,172,4005,571,419,159,0
4,Chachoengsao,Petrol station (Oil/LPG/NGV),474,8190,500,2903,2886,43289,7714,13171,2260
4,Chachoengsao,Harbour,,,,2576,0,0,0,0,67
4,Chachoengsao,Sport ground,,650,3780,0,4200,0,0,0,3645
4,Chachoengsao,Car park,39161,7238,8110,11337,3486,2248,7780,150316,10417
4,Chachoengsao,Advertisting board,617,81,536,1129,233,708,1634,691,635
4,Chachoengsao,Phone Antenna,,,,,,1250,2327,829,210
4,Chachoengsao,Others,2247,5645,1840,3477,6024,5472,6,84518,39007
52,Prachin Buri,Engineering construction measured in length,33318,17181,8380,9237,1274,29,349,135,0
52,Prachin Buri,Fence / wall,5419,169,2675,263,116,29,349,74,0
52,Prachin Buri,Road,15952,12474,3784,7137,134,0,0,0,0
52,Prachin Buri,Bridge,227,18,,0,0,0,0,0,0
52,Prachin Buri,Dam,,50,,0,0,0,0,38,0
52,Prachin Buri,Water drain,11720,4201,1921,92,1024,0,0,0,0
52,Prachin Buri,Others,,269,,1745,0,0,0,23,0
52,Prachin Buri,Engineering construction measured in area,41054,1759,743,3411,452,0,89,186,14060
52,Prachin Buri,Swimming pool,,,,0,0,0,0,0,0
52,Prachin Buri,Petrol station (Oil/LPG/NGV),226,,,0,4,0,89,0,14041
52,Prachin Buri,Harbour,,,,0,0,0,0,0,0
52,Prachin Buri,Sport ground,,,195,3375,0,0,0,0,0
52,Prachin Buri,Car park,36772,145,55,0,0,0,0,0,0
52,Prachin Buri,Advertisting board,1990,27,71,0,2,0,0,9,19
52,Prachin Buri,Phone Antenna,,,,,,0,0,177,0
52,Prachin Buri,Others,2066,1587,422,36,446,0,0,0,0
60,Nakhon Nayok,Engineering construction measured in length,,,311,0,47,335,1043,1706,2354
60,Nakhon Nayok,Fence / wall,,,311,0,47,0,728,1706,625
60,Nakhon Nayok,Road,,,,0,0,0,0,0,0
60,Nakhon Nayok,Bridge,,,,0,0,335,300,0,0
60,Nakhon Nayok,Dam,,,,0,0,0,0,0,1064
60,Nakhon Nayok,Water drain,,,,0,0,0,15,0,665
60,Nakhon Nayok,Others,,,,0,0,0,0,0,0
60,Nakhon Nayok,Engineering construction measured in area,,184,89,112,0,59,7954,2025,9855
60,Nakhon Nayok,Swimming pool,,,,112,0,40,1097,0,0
60,Nakhon Nayok,Petrol station (Oil/LPG/NGV),,,57,0,0,0,2463,387,464
60,Nakhon Nayok,Harbour,,,,0,0,0,0,0,0
60,Nakhon Nayok,Sport ground,,,,0,0,0,0,0,0
60,Nakhon Nayok,Car park,,,,0,0,0,4320,0,8383
60,Nakhon Nayok,Advertisting board,,,32,0,0,0,66,0,15
60,Nakhon Nayok,Phone Antenna,,,,,,19,8,106,57
60,Nakhon Nayok,Others,,184,,0,0,0,0,1532,936
75,Sa Kaew,Engineering construction measured in length,821,6710,18573,3601,2953,0,334,4129,2259
75,Sa Kaew,Fence / wall,,135,0,1248,2953,0,216,4129,2002
75,Sa Kaew,Road,,,17923,1200,0,0,0,0,245
75,Sa Kaew,Bridge,,,,0,0,0,0,0,0
75,Sa Kaew,Dam,,,0,1086,0,0,0,0,0
75,Sa Kaew,Water drain,648,,400,30,0,0,118,0,12
75,Sa Kaew,Others,173,6575,250,37,0,0,0,0,0
75,Sa Kaew,Engineering construction measured in area,22700,4857,1156,16690,9698,839,20590,9382,7126
75,Sa Kaew,Swimming pool,,332,0,0,0,0,0,0,0
75,Sa Kaew,Petrol station (Oil/LPG/NGV),,,220,7782,6760,749,6473,90,1332
