id,Province,Year,Student (persons),Student (thousands)
69,Samut Prakan,2019,"1,556,982",1556.982
69,Samut Prakan,2020,"1,876,425",1876.425
69,Samut Prakan,2021,"1,829,344",1829.344
68,Samut Sakhon,2014,"433,689",433.689
68,Samut Sakhon,2015,"417,557",417.557
68,Samut Sakhon,2016,"500,743",500.743
68,Samut Sakhon,2017,"569,264",569.264
68,Samut Sakhon,2018,"487,302",487.302
68,Samut Sakhon,2019,"497,050",497.05
68,Samut Sakhon,2020,"630,619",630.619
68,Samut Sakhon,2021,"677,826",677.826
50,Samut Songkhram,2014,"88,723",88.723
50,Samut Songkhram,2015,"96,572",96.572
50,Samut Songkhram,2016,"102,462",102.462
50,Samut Songkhram,2017,"106,097",106.097
50,Samut Songkhram,2018,"107,057",107.057
50,Samut Songkhram,2019,"105,657",105.657
50,Samut Songkhram,2020,"110,270",110.27
50,Samut Songkhram,2021,"127,072",127.072
17,Saraburi,2014,"388,111",388.111
17,Saraburi,2015,"442,254",442.254
17,Saraburi,2016,"427,743",427.743
17,Saraburi,2017,"461,235",461.235
17,Saraburi,2018,"493,426",493.426
17,Saraburi,2019,"466,641",466.641
17,Saraburi,2020,"479,796",479.796
17,Saraburi,2021,"504,576",504.576
76,Satun,2014,"110,570",110.57
76,Satun,2015,"126,938",126.938
76,Satun,2016,"143,129",143.129
76,Satun,2017,"144,414",144.414
76,Satun,2018,"148,176",148.176
76,Satun,2019,"149,237",149.237
76,Satun,2020,"146,372",146.372
76,Satun,2021,"154,168",154.168
12,Si Sa Ket,2014,"235,154",235.154
12,Si Sa Ket,2015,"239,046",239.046
12,Si Sa Ket,2016,"245,610",245.61
12,Si Sa Ket,2017,"254,429",254.429
12,Si Sa Ket,2018,"263,925",263.925
12,Si Sa Ket,2019,"236,477",236.477
12,Si Sa Ket,2020,"242,264",242.264
12,Si Sa Ket,2021,"273,363",273.363
49,Singburi,2014,"106,992",106.992
49,Singburi,2015,"116,742",116.742
49,Singburi,2016,"135,101",135.101
49,Singburi,2017,"135,636",135.636
49,Singburi,2018,"129,879",129.879
49,Singburi,2019,"132,652",132.652
49,Singburi,2020,"140,775",140.775
49,Singburi,2021,"155,584",155.584
43,Songkhla,2014,"1,136,074",1136.074
43,Songkhla,2015,"1,090,397",1090.397
43,Songkhla,2016,"1,077,901",1077.901
43,Songkhla,2017,"1,111,166",1111.166
43,Songkhla,2018,"969,010",969.01
43,Songkhla,2019,"953,924",953.924
43,Songkhla,2020,"1,155,539",1155.539
43,Songkhla,2021,"1,264,848",1264.848
7,Sukhothai,2014,"200,001",200.001
7,Sukhothai,2015,"226,082",226.082
7,Sukhothai,2016,"265,958",265.958
7,Sukhothai,2017,"295,641",295.641
7,Sukhothai,2018,"281,456",281.456
7,Sukhothai,2019,"255,896",255.896
7,Sukhothai,2020,"284,128",284.128
7,Sukhothai,2021,"261,588",261.588
48,Suphan Buri,2014,"201,352",201.352
48,Suphan Buri,2015,"242,692",242.692
48,Suphan Buri,2016,"281,885",281.885
48,Suphan Buri,2017,"251,856",251.856
48,Suphan Buri,2018,"293,460",293.46
48,Suphan Buri,2019,"333,397",333.397
48,Suphan Buri,2020,"325,738",325.738
48,Suphan Buri,2021,"281,748",281.748
11,Surat Thani,2014,"504,064",504.064
11,Surat Thani,2015,"532,105",532.105
11,Surat Thani,2016,"433,482",433.482
11,Surat Thani,2017,"490,877",490.877
11,Surat Thani,2018,"544,033",544.033
11,Surat Thani,2019,"553,761",553.761
11,Surat Thani,2020,"601,064",601.064
11,Surat Thani,2021,"570,086",570.086
5,Surin,2014,"262,150",262.15
5,Surin,2015,"259,775",259.775
5,Surin,2016,"263,576",263.576
5,Surin,2017,"325,599",325.599
5,Surin,2018,"379,869",379.869
5,Surin,2019,"327,838",327.838
5,Surin,2020,"362,742",362.742
5,Surin,2021,"364,515",364.515
26,Tak,2014,"167,324",167.324
26,Tak,2015,"159,836",159.836
26,Tak,2016,"169,576",169.576
26,Tak,2017,"197,575",197.575
26,Tak,2018,"178,347",178.347
26,Tak,2019,"177,928",177.928
26,Tak,2020,"208,828",208.828
26,Tak,2021,"232,989",232.989
47,Trang,2014,"248,795",248.795
47,Trang,2015,"280,430",280.43
47,Trang,2016,"321,224",321.224
47,Trang,2017,"353,068",353.068
47,Trang,2018,"368,983",368.983
47,Trang,2019,"340,546",340.546
47,Trang,2020,"335,797",335.797
47,Trang,2021,"387,592",387.592
29,Trat,2014,"113,079",113.079
29,Trat,2015,"136,691",136.691
29,Trat,2016,"134,996",134.996
29,Trat,2017,"128,173",128.173
29,Trat,2018,"134,317",134.317
29,Trat,2019,"140,407",140.407
29,Trat,2020,"148,436",148.436
29,Trat,2021,"165,172",165.172
41,Ubon Ratchathani,2014,"457,637",457.637
41,Ubon Ratchathani,2015,"519,770",519.77
41,Ubon Ratchathani,2016,"535,502",535.502
41,Ubon Ratchathani,2017,"504,573",504.573
41,Ubon Ratchathani,2018,"493,041",493.041
41,Ubon Ratchathani,2019,"437,491",437.491
41,Ubon Ratchathani,2020,"451,189",451.189
41,Ubon Ratchathani,2021,"557,921",557.921
23,Udon Thani,2014,"433,971",433.971
23,Udon Thani,2015,"443,751",443.751
23,Udon Thani,2016,"417,515",417.515
23,Udon Thani,2017,"354,812",354.812
23,Udon Thani,2018,"456,399",456.399
23,Udon Thani,2019,"516,791",516.791
23,Udon Thani,2020,"503,686",503.686
23,Udon Thani,2021,"500,206",500.206
18,Uthai Thani,2014,"86,757",86.757
18,Uthai Thani,2015,"92,440",92.44
18,Uthai Thani,2016,"104,575",104.575
18,Uthai Thani,2017,"105,793",105.793
18,Uthai Thani,2018,"112,490",112.49
18,Uthai Thani,2019,"125,418",125.418
18,Uthai Thani,2020,"127,462",127.462
18,Uthai Thani,2021,"129,695",129.695
34,Uttaradit,2014,"171,774",171.774
34,Uttaradit,2015,"187,159",187.159
34,Uttaradit,2016,"202,265",202.265
34,Uttaradit,2017,"204,675",204.675
34,Uttaradit,2018,"202,205",202.205
34,Uttaradit,2019,"206,462",206.462
34,Uttaradit,2020,"229,425",229.425
34,Uttaradit,2021,"236,903",236.903
33,Yala,2014,"105,022",105.022
33,Yala,2015,"113,664",113.664
33,Yala,2016,"128,408",128.408
33,Yala,2017,"117,635",117.635
33,Yala,2018,"100,058",100.058
33,Yala,2019,"111,409",111.409
33,Yala,2020,"106,052",106.052
33,Yala,2021,"117,880",117.88
31,Yasothon,2014,"121,731",121.731
31,Yasothon,2015,"141,533",141.533
31,Yasothon,2016,"133,509",133.509
31,Yasothon,2017,"125,144",125.144
31,Yasothon,2018,"130,121",130.121
31,Yasothon,2019,"146,315",146.315
31,Yasothon,2020,"176,046",176.046
31,Yasothon,2021,"158,566",158.566
