id,shapeISO,region,province,year,total_sol,mean_sol,gpp(millions),gdp,"population(1,000 persons)",pop,gdppc
35,TH-31,NE,Buri Ram,2021,30050.6649,0.6232,56151,56151000000,1201,1201000,46754
9,TH-36,NE,Chaiyaphum,2014,12570.8081,0.1966,34526,34526000000,958,958000,36040
9,TH-36,NE,Chaiyaphum,2015,14195.3685,0.222,35455,35455000000,956,956000,37087
9,TH-36,NE,Chaiyaphum,2016,15137.9476,0.2367,37594,37594000000,951,951000,39531
9,TH-36,NE,Chaiyaphum,2017,18717.0761,0.2926,38257,38257000000,947,947000,40398
9,TH-36,NE,Chaiyaphum,2018,19846.301,0.3103,40427,40427000000,942,942000,42916
9,TH-36,NE,Chaiyaphum,2019,20073.5975,0.3139,38915,38915000000,936,936000,41576
9,TH-36,NE,Chaiyaphum,2020,21994.1659,0.3439,38898,38898000000,931,931000,41781
9,TH-36,NE,Chaiyaphum,2021,24218.6439,0.3787,39794,39794000000,926,926000,42974
20,TH-46,NE,Kalasin,2014,10457.7474,0.3127,31043,31043000000,815,815000,38090
20,TH-46,NE,Kalasin,2015,12101.957,0.3619,31805,31805000000,813,813000,39121
20,TH-46,NE,Kalasin,2016,12345.6908,0.3692,32695,32695000000,809,809000,40414
20,TH-46,NE,Kalasin,2017,17605.3882,0.5264,33251,33251000000,805,805000,41306
20,TH-46,NE,Kalasin,2018,17818.7959,0.5328,37024,37024000000,801,801000,46222
20,TH-46,NE,Kalasin,2019,17300.8708,0.5173,36104,36104000000,797,797000,45300
20,TH-46,NE,Kalasin,2020,20551.1639,0.6145,34565,34565000000,792,792000,43643
20,TH-46,NE,Kalasin,2021,23417.1591,0.7002,35750,35750000000,788,788000,45368
15,TH-40,NE,Khon Kaen,2014,28259.7161,0.5401,124937,125000000000,1729,1729000,72260
15,TH-40,NE,Khon Kaen,2015,30769.1202,0.5881,126588,127000000000,1726,1726000,73342
15,TH-40,NE,Khon Kaen,2016,31416.7032,0.6005,126769,127000000000,1723,1723000,73575
15,TH-40,NE,Khon Kaen,2017,37311.725,0.7131,132027,132000000000,1721,1721000,76715
15,TH-40,NE,Khon Kaen,2018,40423.7314,0.7726,136849,137000000000,1718,1718000,79656
